orderid,bikeid,userid,start_time,start_location_x,start_location_y,end_time,end_location_x,end_location_y
1526813,3,8502,2016-08-19 21:41,121.52175,31.28994,2016-08-19 22:01,121.51316,31.30762
720944,6,9320,2016-08-10 21:16,121.51242,31.307,2016-08-10 21:20,121.51041,31.30302
1638542,13,1214,2016-08-16 23:12,121.51888,31.31379,2016-08-16 23:14,121.51932,31.31483
527414,13,4320,2016-08-14 10:51,121.51995,31.31295,2016-08-14 10:56,121.51482,31.30784
584343,22,12496,2016-08-11 13:05,121.47293,31.1975,2016-08-11 13:17,121.46474,31.20208
930318,25,1766,2016-08-22 09:24,121.47392,31.2195,2016-08-22 09:45,121.46251,31.20247
1650163,26,3005,2016-08-30 19:51,121.4654,31.19808,2016-08-30 20:10,121.44958,31.17128
1402852,34,6991,2016-08-28 17:26,121.38797,31.18538,2016-08-28 17:42,121.38978,31.17323
425478,34,6206,2016-08-07 18:45,121.39179,31.17487,2016-08-07 18:51,121.39592,31.17016
1342208,38,5798,2016-08-16 18:15,121.51319,31.30688,2016-08-16 18:18,121.51323,31.30334
762712,45,3177,2016-08-22 08:34,121.45929,31.19595,2016-08-22 08:48,121.47452,31.20565
26740,45,1513,2016-08-02 08:31,121.45845,31.19465,2016-08-02 08:46,121.47362,31.20491
146651,45,7552,2016-08-20 08:37,121.45859,31.19541,2016-08-20 08:52,121.47332,31.20427
268498,45,7674,2016-08-11 08:16,121.4582,31.19456,2016-08-11 08:44,121.48555,31.20985
105753,50,7094,2016-08-20 07:38,121.45846,31.19282,2016-08-20 07:50,121.46336,31.21168
795197,71,9352,2016-08-21 20:04,121.45662,31.1853,2016-08-21 20:12,121.45831,31.1917
670654,74,6541,2016-08-24 07:32,121.43059,31.26129,2016-08-24 07:52,121.43709,31.23961
276230,80,3490,2016-08-10 11:22,121.43942,31.15099,2016-08-10 11:48,121.43515,31.15184
246197,82,15769,2016-08-25 08:33,121.46166,31.19518,2016-08-25 08:43,121.44948,31.19721
447379,86,14193,2016-08-20 14:56,121.47006,31.20599,2016-08-20 15:31,121.47223,31.19851
889949,87,12143,2016-08-17 10:13,121.45555,31.19882,2016-08-17 10:27,121.44106,31.18839
458214,88,3276,2016-08-08 09:34,121.42813,31.19208,2016-08-08 09:59,121.46073,31.18869
152347,91,7431,2016-08-07 10:30,121.45813,31.19692,2016-08-07 11:20,121.47889,31.22648
910865,98,5283,2016-08-15 16:41,121.44373,31.19005,2016-08-15 17:06,121.46345,31.19688
1724903,98,15755,2016-08-24 16:57,121.45848,31.19254,2016-08-24 17:03,121.46529,31.19643
96376,105,4184,2016-08-25 07:12,121.45446,31.19188,2016-08-25 07:17,121.45678,31.196
90054,124,12846,2016-08-14 00:54,121.4701,31.2029,2016-08-14 00:59,121.46669,31.19606
1680875,128,7319,2016-08-28 20:36,121.4441,31.18053,2016-08-28 21:03,121.4558,31.18726
889926,131,13887,2016-08-17 10:13,121.46343,31.19209,2016-08-17 10:14,121.46151,31.19693
1667830,140,13680,2016-08-28 20:03,121.45894,31.19022,2016-08-28 20:08,121.46267,31.19262
1090689,140,2258,2016-08-05 23:13,121.4883,31.26532,2016-08-05 23:19,121.4832,31.26458
1663159,140,16590,2016-08-30 20:16,121.50147,31.20806,2016-08-30 21:11,121.45993,31.19204
1454326,140,1738,2016-08-19 20:24,121.4858,31.26781,2016-08-19 20:27,121.47997,31.26831
1770686,145,3959,2016-08-24 19:53,121.45807,31.19282,2016-08-24 20:07,121.44268,31.18516
69538,146,5551,2016-08-21 05:51,121.4389,31.18829,2016-08-21 06:00,121.45279,31.195
1613741,146,12216,2016-08-13 23:10,121.4497,31.19102,2016-08-13 23:18,121.44004,31.18995
1717246,149,15869,2016-08-31 20:49,121.46347,31.19655,2016-08-31 21:14,121.46045,31.20372
1062676,154,8998,2016-08-05 22:29,121.46961,31.20265,2016-08-05 22:35,121.46797,31.20033
436153,156,11700,2016-08-27 10:29,121.49863,31.25958,2016-08-27 11:06,121.51358,31.30747
1778226,156,1792,2016-08-26 19:39,121.51411,31.30491,2016-08-26 20:16,121.48844,31.25913
1528789,156,7094,2016-08-16 20:20,121.51344,31.30661,2016-08-16 20:24,121.51363,31.30345
928334,168,15973,2016-08-21 23:11,121.4605,31.21033,2016-08-21 23:21,121.46363,31.19363
141062,170,5128,2016-08-02 10:46,121.45692,31.19042,2016-08-02 10:49,121.45976,31.18967
1182474,170,2909,2016-08-16 16:41,121.39434,31.25938,2016-08-16 16:55,121.38671,31.2685
1094313,173,7614,2016-08-26 08:44,121.50762,31.28262,2016-08-26 09:00,121.51357,31.26558
1074775,174,10652,2016-08-23 14:44,121.52244,31.17832,2016-08-23 14:49,121.5241,31.18669
111996,177,8361,2016-08-07 09:00,121.4673,31.19606,2016-08-07 09:07,121.45663,31.19833
227066,182,11812,2016-08-15 07:36,121.46663,31.19482,2016-08-15 08:03,121.47553,31.22086
261834,189,6679,2016-08-07 14:53,121.51724,31.27557,2016-08-07 15:06,121.52396,31.28361
682009,192,5299,2016-08-10 20:23,121.42278,31.2144,2016-08-10 20:32,121.41052,31.21163
205695,195,13900,2016-08-21 09:39,121.46704,31.19334,2016-08-21 09:48,121.45746,31.19835
658441,197,2775,2016-08-02 21:56,121.45515,31.19646,2016-08-02 21:59,121.45405,31.189
844628,199,9311,2016-08-20 20:33,121.43328,31.15202,2016-08-20 20:37,121.43718,31.14545
1534903,201,13088,2016-08-17 19:40,121.46666,31.19647,2016-08-17 19:55,121.47196,31.21287
1608307,207,3655,2016-08-14 23:27,121.45967,31.19692,2016-08-14 23:43,121.44661,31.18614
1440175,212,1264,2016-08-12 23:14,121.47819,31.27046,2016-08-12 23:24,121.46762,31.27477
78630,215,11468,2016-08-16 06:17,121.47226,31.18865,2016-08-16 06:47,121.45189,31.19473
1126527,217,10912,2016-08-30 13:28,121.45035,31.20707,2016-08-30 13:43,121.46943,31.22306
1260282,219,11324,2016-08-12 17:50,121.50223,31.30617,2016-08-12 17:56,121.51381,31.30644
1491275,228,8525,2016-08-31 17:46,121.4282,31.19856,2016-08-31 18:12,121.45908,31.20683
900460,232,1966,2016-08-20 21:31,121.46351,31.19242,2016-08-20 21:37,121.4573,31.19156
584512,234,10749,2016-08-11 13:11,121.45712,31.21525,2016-08-11 13:20,121.44411,31.21623
1739379,237,9636,2016-08-26 17:19,121.42942,31.19118,2016-08-26 17:23,121.43708,31.19477
